source,reference,tamil_script,ai_output,category
"hi makkale,nanu enoda friends um oru tamil tech podcast panitu irkom","Hi guys, my friends and I are doing a Tamil tech podcast.","ஹி மக்கலே,நநு ஏநோத ஃப்ரிஏந்த்ஸ் உம் ஓரு தமில் தேச் போத்சஸ்த் பநிது இர்கோம்","Hi Makale, I have a few friends and a Tamil Thech Bodhisatt Panidu.",
"wikipedia vin dhrogam, stackoverflow outage, amazon aga podhu oru ISP aa","Wikipedia's betrayal, stackoverflow outage, is Amazon going to become an ISP?","விகிபேதிஅ விந் த்ரோகம், ஸ்தச்கோவேர்ஃப்லோவ் ஓஉதகே, அமஃஜோந் அக போது ஓரு ஈஷ்P ஆ","Vikipedia Vindrogam, Stachkoverflov Oudake, Amajjon Aka When Oru EshP aa",
"Adhu fog illa murugesa, smog.","That's not fog Murugesa, it's smog.","ஆது ஃபோக் இல்ல முருகேஸ, ஸ்மோக்।","Aadu Folk Illa Murugesa, Smoke.",
Ena bro Kilambakkam la kaanum...,"What bro, you are not to be seen at Kilambakkam...",Eந ப்ரோ ஃக²ிலம்பக்கம் ல காநும்॥।,You will find it in Pro version.,
1.5 x speed la vechu paakura Madhiri iruku,It feels like watching at 1.5x speed.,௧।௫ க்ஷ் ஸ்பீத் ல வேசு பாகுர ம்அதிரி இருகு,1.5 Ksh Speed ​​La Vesu Bagura Madiri Iruku,
Antha video vera level-la iruku,That video is on another level.,ஆந்த விதேஓ வேர லேவேல்-ல இருகு,Anda Video is at the same level,
Ethuku bro ivlo tension aguringa?,"Why are you getting so tense, bro?",Eதுகு ப்ரோ இவ்லோ தேந்ஸிஓந் அகுரிந்க?,Ethuku pro ivlo tensione agurinka?,
Nalla iruku but innum improve pannalam,It's good but can be improved more.,ணல்ல இருகு புத் இந்நும் இம்ப்ரோவே பந்நலம்,Nalla Iruku Budh Innum Improve Pannalam,
Intha logic enaku puriyala,I don't understand this logic.,ஈந்த லோகிச் ஏநகு புரியல,I don't understand the logic behind it,
Waiting for the next update nanba,"Waiting for the next update, friend.",Wஐதிந்க் ஃபோர் தே நேக்ஷ்த் உப்ததே நந்ப,Think for te next update nanpa,
Semma fun ah irunthuchi inniku session,Today's session was very fun.,ஷேம்ம ஃபுந் அஹ் இருந்துசி இந்நிகு ஸேஸ்ஸிஓந்,Shemma fun ah habotsi inniku sassion,
"Oru chinna doubt, ithu eppidi work aagum?","A small doubt, how does this work?","Oரு சிந்ந தோஉப்த், இது ஏப்பிதி வோர்க் ஆகும்?","Oru cinna thoupd, is this epiti work?",
"Nalla sonninga, ithu thaan unmai","Well said, this is the truth.","ணல்ல ஸோந்நிந்க, இது தாந் உந்மை","Nalla Sonninka, this is self-delusion",
Jananayagan movie release eppo bro?,"When is the Jananayagan movie release, bro?",ஃஜநநயகந் மோவிஏ ரேலேஅஸே ஏப்போ ப்ரோ?,Fajnayakan MOVA RELEASE EPO PRO?,
Supreme Court case 19th ku postpone aayiduchi.,The Supreme Court case has been postponed to the 19th.,ஷுப்ரேமே சோஉர்த் சஸே ௧௯த் கு போஸ்த்போநே ஆயிதுசி।,Shupreme sourth sase ௧௯th ku posthbone ayitusi.,
Rahul Gandhi tweet vera level!,Rahul Gandhi's tweet is on another level!,றஹுல் ஃக³ந்தி த்வீத் வேர லேவேல்!,Rahul Gandhi Dweed Vera Level!,
CBI enquiry la Vijay anna witness ah poyirukanga.,Vijay anna went as a witness for the CBI enquiry.,ச்Bஈ ஏந்ஃ'குஇர்ய் ல Vஇஜய் அந்ந வித்நேஸ்ஸ் அஹ் போயிருகந்க।,Chbee en'quiri la vjei anna witnesses ah poyiruganka.,
Alliance break aaguma nu ellarum keka aarambichtanga.,Everyone has started asking if the alliance will break.,ஆல்லிஅந்சே ப்ரேஅக் ஆகும நு ஏல்லரும் கேக ஆரம்பிச்தந்க।,Allianz break akuma Nu Ellerum kek arishti.,
Madan Gowri video pathu thaan update therinjikiten.,I got the update only after watching Madan Gowri's video.,ம்அதந் ஃக³ோவ்ரி விதேஓ பது தாந் உப்ததே தேரிந்ஜிகிதேந்।,Mādan ga³owri video padu dhaan update terinjikiten.,
Politics la idhu ellam common thaan.,This is all common in politics.,Pஓலிதிச்ஸ் ல இது ஏல்லம் சோம்மோந் தாந்।,In Politiches it is Ellum Sommon Than.,
Vijay anna party full form la iruku pola.,It looks like Vijay anna's party is in full form.,Vஇஜய் அந்ந பர்த்ய் ஃபுல்ல் ஃபோர்ம் ல இருகு போல।,Vijay looks like he is in full form that party.,
